Keywords,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10
"Adobe Premiere Pro
Video Production
Photography
Videography
People
Video Editing
+2",Adobe Premiere Pro,Video Production,Photography,Videography,People,Video Editing,,,,
"Graphic Design
Social Media Imagery
YouTube",Graphic Design,Social Media Imagery,YouTube,,,,,,,
"Graphic Design
Adobe Illustrator
Adobe Photoshop
Infographic
Adobe InDesign",Graphic Design,Adobe Illustrator,Adobe Photoshop,Infographic,Adobe InDesign,,,,,
"Web Design
Squarespace
Web Development
WordPress
Graphic Design
Mockup
User Flow",Web Design,Squarespace,Web Development,WordPress,Graphic Design,Mockup,User Flow,,,
"Adobe Illustrator
Graphic Design
Adobe Photoshop
Illustration
Content Writing",Adobe Illustrator,Graphic Design,Adobe Photoshop,Illustration,Content Writing,,,,,
"Video Color Correction
Color Grading
DaVinci Resolve",Video Color Correction,Color Grading,DaVinci Resolve,,,,,,,
"CSS
Web Design
Adobe Photoshop
JavaScript
Squarespace
Adobe Illustrator
Canva
+8",CSS,Web Design,Adobe Photoshop,JavaScript,Squarespace,Adobe Illustrator,Canva,,,
"Shopify
Web Development
Web Design
Shopify Templates
WooCommerce",Shopify,Web Development,Web Design,Shopify Templates,WooCommerce,,,,,
"Graphic Design
Social Media Imagery
Facebook
TikTok Video",Graphic Design,Social Media Imagery,Facebook,TikTok Video,,,,,,
"Video Editing
Video Post-Editing
Audio Editing
Adobe Premiere Pro
Video Production",Video Editing,Video Post-Editing,Audio Editing,Adobe Premiere Pro,Video Production,,,,,
"Creative Writing
Screenwriting",Creative Writing,Screenwriting,,,,,,,,
"Data Entry
Administrative Support",Data Entry,Administrative Support,,,,,,,,
"Next.js
TypeScript
Tailwind CSS
JavaScript
React
Web Development",Next.js,TypeScript,Tailwind CSS,JavaScript,React,Web Development,,,,
"Graphic Design
Business Card
Adobe Illustrator
Adobe Photoshop
Print Design",Graphic Design,Business Card,Adobe Illustrator,Adobe Photoshop,Print Design,,,,,
"Civil Engineering
Engineering Design
Architectural Design
Drafting",Civil Engineering,Engineering Design,Architectural Design,Drafting,,,,,,
"Graphic Design
Sales & Marketing Collateral
Content Writing
Brochure
Copywriting",Graphic Design,Sales & Marketing Collateral,Content Writing,Brochure,Copywriting,,,,,
"Video Editing
Video Post-Editing
Adobe Premiere Pro
Adobe After Effects
Video Production",Video Editing,Video Post-Editing,Adobe Premiere Pro,Adobe After Effects,Video Production,,,,,
"Graphic Design
Adobe Illustrator
Layout Design
Adobe Photoshop
Adobe InDesign",Graphic Design,Adobe Illustrator,Layout Design,Adobe Photoshop,Adobe InDesign,,,,,
"Web Application
WordPress
Web Development
WooCommerce
JavaScript
HTML5
Web Design
+3",Web Application,WordPress,Web Development,WooCommerce,JavaScript,HTML5,Web Design,,,
"Market Research
Topic Research
Market Analysis",Market Research,Topic Research,Market Analysis,,,,,,,
"Google Sheets
Data Mining
Market Research
Administrative Support
Zoho CRM",Google Sheets,Data Mining,Market Research,Administrative Support,Zoho CRM,,,,,
"Internet Marketing
Retargeting
Search Engine Optimization
Email Marketing
Real Estate
Lead Generation
+3",Internet Marketing,Retargeting,Search Engine Optimization,Email Marketing,Real Estate,Lead Generation,,,,
"WooCommerce
WordPress
Ecommerce Website
WordPress Plugin",WooCommerce,WordPress,Ecommerce Website,WordPress Plugin,,,,,,
"Data Entry
Company Research
Market Research
List Building",Data Entry,Company Research,Market Research,List Building,,,,,,
"CSS
JavaScript
HTML
CSS 3
HTML5",CSS,JavaScript,HTML,CSS 3,HTML5,,,,,
"CAD Drafting
AutoCAD Civil 3D
CAD Conversion
Autodesk AutoCAD
2D Design
Drafting
2D Drafting
+8",CAD Drafting,AutoCAD Civil 3D,CAD Conversion,Autodesk AutoCAD,2D Design,Drafting,2D Drafting,,,
"Video Editing
Video Production
Video Commercial
Videography
UGC",Video Editing,Video Production,Video Commercial,Videography,UGC,,,,,
"Social Media Management
Social Media Marketing
Social Media Content Creation
Social Media Content",Social Media Management,Social Media Marketing,Social Media Content Creation,Social Media Content,,,,,,
Conversion Rate Optimization,Conversion Rate Optimization,,,,,,,,,
"Content Writing
Article
Article Writing
Creative Writing",Content Writing,Article,Article Writing,Creative Writing,,,,,,
"Usability Testing
Web Testing
Functional Testing
Web Design
Performance Testing",Usability Testing,Web Testing,Functional Testing,Web Design,Performance Testing,,,,,
"Audio Editing
Instagram Reels
Video Editing
Video Post-Editing
Videography",Audio Editing,Instagram Reels,Video Editing,Video Post-Editing,Videography,,,,,
"2D Animation
Adobe After Effects
Explainer Video",2D Animation,Adobe After Effects,Explainer Video,,,,,,,
"Video Editing
Adobe After Effects
Animation
Graphic Design
Video Production",Video Editing,Adobe After Effects,Animation,Graphic Design,Video Production,,,,,
"Logo Design
Adobe InDesign
Adobe Photoshop
Adobe Illustrator
Figma
Graphic Design
+10",Logo Design,Adobe InDesign,Adobe Photoshop,Adobe Illustrator,Figma,Graphic Design,,,,
"Customer Service
Customer Support
Email Communication
Microsoft Excel
Data Entry",Customer Service,Customer Support,Email Communication,Microsoft Excel,Data Entry,,,,,
"Microsoft PowerApps
Microsoft SharePoint
Microsoft Power Automate",Microsoft PowerApps,Microsoft SharePoint,Microsoft Power Automate,,,,,,,
"Sales
Cold Calling
Scheduling
Telemarketing",Sales,Cold Calling,Scheduling,Telemarketing,,,,,,
WordPress,WordPress,,,,,,,,,
"YouTube Shorts
TikTok Video
Adobe Photoshop
CapCut
Video Editing
Adobe After Effects
+2",YouTube Shorts,TikTok Video,Adobe Photoshop,CapCut,Video Editing,Adobe After Effects,,,,
"Video Editing
Video Post-Editing",Video Editing,Video Post-Editing,,,,,,,,
"WordPress
Graphic Design
Web Development
Adobe Photoshop
Web Design
Search Engine Optimization
+2",WordPress,Graphic Design,Web Development,Adobe Photoshop,Web Design,Search Engine Optimization,,,,
"Sales
Lead Generation
Real Estate",Sales,Lead Generation,Real Estate,,,,,,,
"Market Research
Company Research
Data Entry",Market Research,Company Research,Data Entry,,,,,,,
"Marketing Strategy
Social Media Marketing
Facebook
Lead Generation
SEO Keyword Research
+5",Marketing Strategy,Social Media Marketing,Facebook,Lead Generation,SEO Keyword Research,,,,,
"Elementor
Responsive Design
Web Design
Web Development
Page Builder
Performance Optimization
+2",Elementor,Responsive Design,Web Design,Web Development,Page Builder,Performance Optimization,,,,
